Date,Open_ABBV,High_ABBV,Low_ABBV,Close_ABBV,Volume_ABBV,AdjClose_ABBV
2015-07-20,70.0,71.110001,69.860001,70.800003,9633000,68.762667
2015-07-21,70.809998,71.599998,70.220001,70.540001,5028500,68.510147
2015-07-22,70.260002,70.650002,70.029999,70.559998,5701700,68.529568
2015-07-23,70.25,70.93,70.139999,70.519997,5636600,68.490718
2015-07-24,67.529999,69.019997,67.349998,68.080002,13495200,66.120936
2015-07-27,68.459999,70.959999,68.459999,69.339996,12841500,67.344673
2015-07-28,69.5,71.440002,69.080002,71.230003,10098300,69.180294
2015-07-29,71.290001,71.510002,70.739998,70.769997,6793300,68.733524
2015-07-30,70.860001,70.879997,69.269997,70.160004,6820400,68.141084
2015-07-31,70.379997,70.379997,69.730003,70.010002,6181300,67.995399
2015-08-03,70.190002,70.790001,69.279999,69.730003,9872300,67.723458
2015-08-04,70.040001,70.389999,69.669998,69.949997,5410900,67.937121
2015-08-05,70.099998,70.639999,70.050003,70.300003,10090200,68.277055
2015-08-06,70.370003,70.779999,68.800003,69.239998,6172200,67.247553
2015-08-07,69.080002,69.300003,67.769997,68.620003,6214500,66.645398
2015-08-10,68.919998,69.43,68.5,69.209999,8189400,67.218417
2015-08-11,68.5,69.290001,67.940002,68.25,7473200,66.286043
2015-08-12,67.830002,68.919998,67.239998,68.75,8337600,66.771655
2015-08-13,68.68,69.089996,68.209999,68.540001,7184900,66.567699
2015-08-14,68.559998,69.440002,68.410004,68.650002,5864800,66.674534
2015-08-17,68.709999,69.82,68.300003,69.370003,17669900,67.373816
2015-08-18,69.419998,69.739998,68.669998,68.860001,6376500,66.87849
2015-08-19,68.75,69.080002,68.209999,68.589996,6270300,66.616255
2015-08-20,68.0,68.43,67.480003,67.480003,9600900,65.538203
2015-08-21,66.739998,67.160004,65.830002,65.900002,16277100,64.003668
2015-08-24,61.169998,64.849998,53.869999,63.450001,24292600,61.624168
2015-08-25,65.110001,65.120003,60.650002,60.709999,15267000,58.963012
2015-08-26,62.470001,63.220001,60.880001,63.139999,15289600,61.323087
2015-08-27,64.029999,64.599998,63.0,64.510002,12592100,62.653667
2015-08-28,63.91,64.779999,63.439999,63.98,7316400,62.138916
2015-08-31,64.139999,64.309998,62.25,62.41,15581100,60.614094
2015-09-01,61.0,61.630001,60.16,60.5,12703200,58.759056
2015-09-02,61.560001,61.599998,60.279999,60.98,12044500,59.225243
2015-09-03,61.450001,62.279999,61.349998,61.580002,11777400,59.80798
2015-09-04,60.650002,60.799999,58.959999,59.77,9281400,58.050063
2015-09-08,60.220001,60.939999,59.91,60.57,9263200,58.827042
2015-09-09,61.52,61.52,59.110001,59.259998,8436900,57.554737
2015-09-10,59.360001,60.130001,58.889999,59.580002,9306600,57.865532
2015-09-11,59.619999,59.759998,58.970001,59.349998,9365400,57.642147
2015-09-14,59.43,59.619999,57.540001,58.939999,9095600,57.243945
2015-09-15,58.98,59.439999,58.369999,59.200001,10474700,57.496466
2015-09-16,59.5,59.639999,58.630001,59.509998,8044200,57.797543
2015-09-17,59.560001,60.919998,59.389999,59.860001,10281700,58.137473
2015-09-18,59.419998,61.830002,58.970001,61.220001,28957000,59.458339
2015-09-21,61.240002,61.740002,59.290001,59.389999,11038100,57.680997
2015-09-22,58.169998,58.259998,56.91,57.740002,14192000,56.078479
2015-09-23,57.900002,58.400002,57.150002,57.43,9827000,55.777399
2015-09-24,56.93,57.48,55.919998,56.57,8625500,54.942145
2015-09-25,57.84,57.880001,55.080002,55.740002,8673500,54.136031
2015-09-28,55.389999,55.43,52.34,52.5,15123000,50.989264
2015-09-29,53.099998,54.189999,51.880001,52.790001,12842800,51.27092
2015-09-30,53.540001,54.5,53.360001,54.41,11895500,52.844301
2015-10-01,54.68,55.23,53.93,55.130001,9255800,53.543584
2015-10-02,53.869999,55.849998,53.720001,55.82,6942600,54.213727
2015-10-05,56.389999,56.950001,55.439999,56.68,9332800,55.048981
2015-10-06,56.259998,56.669998,53.959999,55.080002,9008300,53.495024
2015-10-07,54.849998,56.549999,53.91,55.630001,11056100,54.029196
2015-10-08,55.130001,56.16,54.799999,56.040001,6737300,54.427398
2015-10-09,56.18,56.5,55.470001,55.639999,7178500,54.038907
2015-10-12,55.799999,56.27,55.52,55.77,6515000,54.165167
2015-10-13,55.169998,55.360001,53.709999,53.799999,9467900,52.734092
2015-10-14,54.09,54.619999,53.57,53.939999,8727400,52.871318
2015-10-15,54.32,56.200001,53.849998,56.139999,7781600,55.027731
2015-10-16,56.290001,56.970001,55.790001,56.529999,7342800,55.410004
2015-10-19,56.290001,56.700001,55.689999,56.16,6463000,55.047335
2015-10-20,56.150002,56.380001,54.630001,54.830002,6494600,53.743688
2015-10-21,55.279999,55.610001,53.07,53.830002,11638800,52.7635
2015-10-22,53.880001,54.439999,45.450001,48.27,46517700,47.313656
2015-10-23,49.41,51.73,48.639999,50.34,26214800,49.342644
2015-10-26,50.169998,52.48,49.349998,51.869999,13890400,50.84233
2015-10-27,52.009998,53.490002,52.009998,52.580002,11710800,51.538266
2015-10-28,52.82,53.84,52.080002,53.259998,7869000,52.20479
2015-10-29,53.200001,55.18,53.02,54.099998,9304400,53.028147
2015-10-30,57.869999,60.73,57.66,59.549999,27465600,58.370171
2015-11-02,61.599998,64.199997,61.439999,63.380001,17008700,62.124291
2015-11-03,63.119999,63.720001,61.919998,62.43,8754700,61.193112
2015-11-04,62.43,64.150002,62.299999,63.799999,10342600,62.535968
2015-11-05,63.700001,64.18,61.689999,62.77,10237200,61.526376
2015-11-06,62.25,64.300003,62.130001,64.129997,7261100,62.859428
2015-11-09,63.619999,64.129997,63.110001,63.23,8239400,61.977261
2015-11-10,63.330002,63.619999,62.279999,62.299999,6897600,61.065686
2015-11-11,62.200001,62.27,60.57,60.860001,8212500,59.654218
2015-11-12,60.790001,61.73,60.150002,60.23,7765500,59.036698
2015-11-13,60.009998,60.970001,58.889999,59.860001,7834400,58.67403
2015-11-16,59.740002,60.810001,59.560001,60.009998,6965100,58.821056
2015-11-17,60.099998,61.73,59.73,60.380001,8405400,59.183728
2015-11-18,60.259998,61.060001,59.849998,60.990002,5470200,59.781643
2015-11-19,61.220001,61.73,60.139999,60.549999,5571200,59.350358
2015-11-20,60.939999,61.360001,60.57,61.110001,7490200,59.899265
2015-11-23,61.310001,61.529999,60.84,61.150002,6405000,59.938473
2015-11-24,60.560001,61.650002,60.529999,61.130001,5213500,59.918869
2015-11-25,61.099998,61.130001,60.209999,60.290001,4879800,59.095511
2015-11-27,60.169998,60.450001,59.610001,60.0,2404100,58.811256
2015-11-30,59.959999,60.209999,57.959999,58.150002,12660200,56.99791
2015-12-01,58.23,59.099998,57.16,59.02,11290500,57.850672
2015-12-02,59.169998,59.389999,57.369999,57.720001,7663000,56.576429
2015-12-03,57.709999,57.75,55.529999,56.119999,9701500,55.008127
2015-12-04,56.5,57.48,56.200001,57.18,6748100,56.047127
2015-12-07,57.900002,57.990002,55.759998,56.27,7890900,55.155156
2015-12-08,55.560001,56.869999,55.509998,56.669998,6896200,55.547229
2015-12-09,56.279999,57.439999,55.720001,56.029999,6207900,54.91991
2015-12-10,56.0,56.650002,55.650002,55.779999,6736900,54.674863
2015-12-11,55.779999,55.779999,53.849998,54.040001,9388600,52.969339
2015-12-14,53.709999,55.48,53.240002,55.439999,9419500,54.341599
2015-12-15,56.150002,57.0,55.91,56.389999,6990000,55.272778
2015-12-16,56.669998,57.689999,56.200001,57.630001,6282500,56.488212
2015-12-17,57.66,57.93,56.349998,56.380001,7848900,55.262978
2015-12-18,55.900002,56.099998,55.360001,55.740002,13807000,54.635658
2015-12-21,56.0,56.259998,55.700001,56.200001,4572100,55.086544
2015-12-22,56.540001,57.990002,56.419998,57.59,8390800,56.449004
2015-12-23,57.880001,58.610001,57.610001,58.580002,6634400,57.419391
2015-12-24,58.380001,58.73,58.0,58.459999,2152900,57.301766
2015-12-28,58.27,58.970001,57.759998,58.75,5585800,57.586021
2015-12-29,59.02,59.700001,59.02,59.450001,5073900,58.272153
2015-12-30,59.400002,60.119999,59.310001,59.799999,5220300,58.615217
2015-12-31,59.5,59.93,59.200001,59.240002,6104800,58.066315
2016-01-04,58.060001,58.32,56.400002,57.610001,10308400,56.468608
2016-01-05,57.990002,58.25,56.82,57.369999,7179600,56.233361
2016-01-06,56.369999,57.560001,56.18,57.380001,8952700,56.243165
2016-01-07,56.52,57.84,56.34,57.209999,9292600,56.076531
2016-01-08,57.549999,57.810001,55.48,55.650002,7985200,54.547441
2016-01-11,55.860001,55.98,52.830002,53.880001,10483300,52.812509
2016-01-12,54.470001,54.970001,53.57,54.84,6799600,53.753488
2016-01-13,54.549999,54.619999,50.98,51.18,10432200,50.692898
2016-01-14,51.32,56.830002,50.709999,54.560001,16704900,54.04073
2016-01-15,53.009998,57.41,53.009998,57.34,27008800,56.794271
2016-01-19,57.529999,57.73,54.23,54.990002,13644500,54.466638
2016-01-20,54.209999,57.93,53.700001,57.150002,11993100,56.60608
2016-01-21,57.290001,58.77,56.919998,58.360001,12097000,57.804563
2016-01-22,59.099998,59.43,57.82,58.830002,10383800,58.270091
2016-01-25,59.029999,59.810001,58.18,58.650002,9681900,58.091804
2016-01-26,59.009998,59.27,57.209999,58.259998,7421100,57.705513
2016-01-27,58.360001,58.93,56.450001,57.110001,9077700,56.56646
2016-01-28,57.23,57.73,54.779999,55.849998,10521100,55.31845
2016-01-29,53.419998,55.310001,53.419998,54.900002,17768700,54.377495
2016-02-01,54.16,54.880001,52.509998,54.389999,11693300,53.872346
2016-02-02,53.639999,54.779999,53.32,53.950001,7918300,53.436535
2016-02-03,54.529999,57.18,54.049999,56.84,16435700,56.299029
2016-02-04,56.740002,57.310001,55.360001,56.759998,10351200,56.219789
2016-02-05,56.25,56.34,52.619999,53.119999,13263200,52.614433
2016-02-08,52.580002,54.099998,51.939999,52.889999,9369400,52.386622
2016-02-09,52.310001,53.939999,52.060001,53.48,7655800,52.971007
2016-02-10,54.110001,54.689999,52.549999,52.720001,9302800,52.218242
2016-02-11,52.299999,53.119999,51.82,52.18,8551100,51.683381
2016-02-12,52.529999,52.970001,51.599998,52.580002,9976200,52.079575
2016-02-16,53.439999,53.869999,52.73,53.509998,8313000,53.000721
2016-02-17,54.34,55.150002,53.349998,55.009998,10005600,54.486444
2016-02-18,55.529999,55.529999,54.169998,54.549999,6555000,54.030823
2016-02-19,54.5,55.0,53.98,54.290001,8532500,53.7733
2016-02-22,54.290001,55.32,53.740002,55.279999,9381800,54.753875
2016-02-23,55.700001,56.310001,55.0,55.07,8629700,54.545875
2016-02-24,54.66,55.07,54.009998,54.889999,6633800,54.367588
2016-02-25,55.169998,56.23,54.43,56.200001,7076300,55.665121
2016-02-26,56.259998,56.790001,55.799999,56.0,5298000,55.467024
2016-02-29,55.869999,56.0,54.470001,54.610001,8395100,54.090254
2016-03-01,54.779999,56.34,54.240002,56.34,7106000,55.803788
2016-03-02,56.169998,56.43,55.400002,55.700001,7054800,55.16988
2016-03-03,55.689999,56.09,55.150002,55.93,9283900,55.39769
2016-03-04,56.0,56.700001,55.299999,56.150002,6439700,55.615598
2016-03-07,55.700001,56.5,54.830002,56.400002,7741800,55.863218
2016-03-08,56.18,56.470001,55.23,55.32,5303700,54.793495
2016-03-09,55.509998,56.650002,55.040001,56.389999,8402500,55.853311
2016-03-10,56.560001,57.369999,55.32,56.23,5627900,55.694834
2016-03-11,56.400002,57.869999,56.349998,57.73,6537400,57.180558
2016-03-14,57.669998,57.73,56.970001,57.209999,4650800,56.665507
2016-03-15,56.650002,56.93,55.130001,55.619999,5779600,55.090639
2016-03-16,55.580002,56.540001,55.25,56.310001,6245400,55.774075
2016-03-17,56.459999,56.459999,54.41,55.32,8308800,54.793495
2016-03-18,55.59,56.599998,54.799999,56.57,11029800,56.031599
2016-03-21,56.52,56.779999,55.73,56.009998,6632900,55.476927
2016-03-22,55.75,57.540001,55.75,57.5,7661600,56.952748
2016-03-23,57.16,57.5,56.220001,56.360001,5116400,55.823598
2016-03-24,56.139999,56.25,55.669998,56.119999,5278900,55.585881
2016-03-28,56.349998,56.700001,55.799999,56.110001,3803100,55.575978
2016-03-29,56.099998,57.099998,55.220001,57.049999,4567900,56.50703
2016-03-30,57.43,57.529999,56.720001,57.0,3650300,56.457506
2016-03-31,57.02,57.459999,56.82,57.119999,4930300,56.576363
2016-04-01,56.580002,57.57,56.360001,57.419998,4525700,56.873507
2016-04-04,57.639999,59.400002,57.490002,59.209999,8108100,58.646472
2016-04-05,58.540001,59.560001,58.09,58.540001,6779400,57.98285
2016-04-06,58.52,59.900002,58.52,59.889999,6322800,59.32
2016-04-07,59.419998,59.900002,58.759998,59.299999,7827600,58.735616
2016-04-08,59.490002,59.799999,58.169998,58.470001,5750000,57.913517
2016-04-11,58.59,59.25,58.25,58.5,4894000,57.94323
2016-04-12,58.98,60.049999,58.689999,59.889999,7243700,59.32
2016-04-13,59.869999,60.0,58.700001,59.060001,7023000,59.060001
2016-04-14,59.150002,59.490002,59.0,59.279999,5185600,59.279999
2016-04-15,59.549999,59.740002,58.779999,59.509998,4660800,59.509998
2016-04-18,59.5,60.32,59.299999,59.880001,6089400,59.880001
2016-04-19,60.09,61.23,59.669998,60.169998,6149300,60.169998
2016-04-20,60.169998,61.110001,59.959999,60.48,4443600,60.48
2016-04-21,60.57,61.43,60.540001,61.369999,5702400,61.369999
2016-04-22,61.299999,61.990002,60.959999,61.419998,5103000,61.419998
2016-04-25,61.130001,61.299999,60.75,60.970001,4320500,60.970001
2016-04-26,60.959999,61.290001,60.529999,60.93,4277700,60.93
2016-04-27,60.93,61.48,60.25,60.700001,5467000,60.700001
2016-04-28,58.560001,62.099998,57.529999,61.200001,16128300,61.200001
2016-04-29,61.029999,61.450001,60.48,61.0,13047500,61.0
2016-05-02,60.790001,62.0,60.700001,61.439999,9357800,61.439999
2016-05-03,60.990002,62.09,60.720001,61.77,9216400,61.77
2016-05-04,61.299999,61.650002,61.009998,61.459999,7716200,61.459999
2016-05-05,61.41,62.400002,61.09,62.34,8624300,62.34
2016-05-06,62.0,62.75,61.650002,62.509998,10839700,62.509998
2016-05-09,62.360001,63.869999,62.279999,63.700001,9858600,63.700001
2016-05-10,63.509998,63.759998,63.32,63.740002,12071300,63.740002
2016-05-11,63.77,63.830002,62.639999,62.700001,9311600,62.700001
2016-05-12,62.860001,63.07,62.389999,62.490002,7872300,62.490002
2016-05-13,62.150002,62.860001,61.82,62.0,7283500,62.0
2016-05-16,61.91,62.619999,61.5,62.450001,6662200,62.450001
2016-05-17,62.439999,62.790001,58.5,60.25,31499100,60.25
2016-05-18,59.869999,60.799999,59.560001,60.459999,10523200,60.459999
2016-05-19,60.060001,60.349998,58.900002,59.279999,9808300,59.279999
2016-05-20,59.630001,60.049999,59.029999,59.689999,10765000,59.689999
2016-05-23,59.75,59.84,59.130001,59.299999,6460600,59.299999
2016-05-24,59.73,60.91,59.52,60.700001,8753600,60.700001
2016-05-25,61.080002,61.470001,60.790001,61.220001,5857600,61.220001
2016-05-26,61.0,62.169998,60.900002,61.900002,6224500,61.900002
2016-05-27,61.990002,63.200001,61.900002,62.709999,5750600,62.709999
2016-05-31,62.709999,63.490002,62.639999,62.93,6904100,62.93
2016-06-01,62.93,63.169998,62.630001,62.830002,5282400,62.830002
2016-06-02,62.869999,65.150002,62.830002,65.089996,11587900,65.089996
2016-06-03,64.760002,65.370003,63.75,65.0,10594100,65.0
