,Date,Future_Date,Symbol,Future_Price($),Test_Error(MAPE),Benchmark_Last_Price(MAPE),Test_Correlation
473,2016-06-13,2016-06-20,VMC,84.551568049,0.0775996752136,0.0176608619066,0.805562960019
257,2016-06-13,2016-06-20,KSS,50.1552792946,0.0779154741797,0.0437064916355,0.843347055777
74,2016-06-13,2016-06-20,AVGO,117.904945441,0.0788554942778,0.0302220070014,0.701999731297
35,2016-06-13,2016-06-20,AWK,50.4369462507,0.0802777441287,0.0189240153958,0.50213246982
194,2016-06-13,2016-06-20,FCX,9.85014422608,0.0826181872473,0.0847318265248,0.728615079999
371,2016-06-13,2016-06-20,RRC,42.5048653679,0.0832957261629,0.0670733766366,0.86561587635
495,2016-06-13,2016-06-20,XYL,30.8228692466,0.0836808959569,0.0180265352925,0.877770181109
419,2016-06-13,2016-06-20,SYY,36.0978620677,0.0845440356819,0.0166029551774,0.769662293711
478,2016-06-13,2016-06-20,WM,44.9202270112,0.0845634850796,0.0168102048433,0.53866811632
321,2016-06-13,2016-06-20,NLSN,41.1702859434,0.0870706429776,0.0165502644688,0.463535438128
324,2016-06-13,2016-06-20,JWN,54.2124889674,0.0876429532756,0.0502258177667,0.847036971879
72,2016-06-13,2016-06-20,BSX,14.4507607753,0.0881535226684,0.0200718550768,0.91896752524
307,2016-06-13,2016-06-20,MUR,27.2000972072,0.0892363396264,0.0802435996634,0.827458722162
310,2016-06-13,2016-06-20,NRG,13.8188252762,0.0914392803838,0.0557079570178,0.805745139116
331,2016-06-13,2016-06-20,OKE,43.2869235241,0.0948433714508,0.057677955015,0.980057044084
137,2016-06-13,2016-06-20,DVN,33.58581981,0.0953264000157,0.0687048557633,0.838586750222
352,2016-06-13,2016-06-20,PM,78.4013775767,0.0975870332576,0.0172200148381,-0.383218556537
55,2016-06-13,2016-06-20,AVY,53.2992842295,0.0987442907212,0.0180714175976,0.773899053537
450,2016-06-13,2016-06-20,ULTA,132.656887442,0.103152700244,0.0332824736145,0.786066400625
433,2016-06-13,2016-06-20,WMB,21.8749792823,0.10791312803,0.0637120555425,0.675408898385
242,2016-06-13,2016-06-20,ISRG,452.372900676,0.107918485087,0.0171064886862,0.864323393788
279,2016-06-13,2016-06-20,MRO,12.417640637,0.108665769568,0.0829176590242,0.757350324883
165,2016-06-13,2016-06-20,EQIX,220.591414498,0.112370406113,0.0203006367904,0.474210960349
406,2016-06-13,2016-06-20,SWN,12.8724911592,0.115044991209,0.0953752040753,0.838542792293
159,2016-06-13,2016-06-20,EW,72.1487772046,0.116638147224,0.0274543100762,0.777134309886
329,2016-06-13,2016-06-20,NVDA,22.4817593606,0.119667460624,0.0362435386877,0.786336991523
452,2016-06-13,2016-06-20,UA.C,51.3338266422,0.124957685631,0.0333611488954,0.262161070577
451,2016-06-13,2016-06-20,UA,30.1980559574,0.126859433831,0.0371625673773,0.484896959548
196,2016-06-13,2016-06-20,GPS,28.1860837871,0.129456182938,0.0566354636508,0.885323529677
441,2016-06-13,2016-06-20,RIG,11.4826793596,0.133557193926,0.0870161189496,0.155606002085
350,2016-06-13,2016-06-20,PRGO,145.139843595,0.134805329051,0.0460346688868,0.755905207352
68,2016-06-13,2016-06-20,HRB,28.7339509108,0.150511581939,0.0475461308563,0.835893315708
395,2016-06-13,2016-06-20,STX,34.7316885523,0.177661302585,0.0820586370574,0.817018059184
98,2016-06-13,2016-06-20,CHK,3.86147806515,0.203829519625,0.158299646364,0.459455949573
162,2016-06-13,2016-06-20,ENDP,62.2745274011,0.740476229838,0.148753597656,0.670844116182
